from_node,to_node,distance_km,time_hours,weight,lat_from,lon_from,lat_to,lon_to
53033009400,53033008100,2.9759636360817407,0.05951927272163481,2.9759636360817407,47.58692092759124,-122.31156068918385,47.607134843343374,-122.33749983653284
53033009400,53033008500,2.3051594712988854,0.04610318942597771,2.3051594712988854,47.58692092759124,-122.31156068918385,47.605765587481855,-122.32434171416598
53033009400,53033010100,2.926345808243537,0.05852691616487074,2.926345808243537,47.58692092759124,-122.31156068918385,47.56750431663827,-122.28530035581079
53033009400,53033009300,0.9169174722050994,0.018338349444101988,0.9169174722050994,47.58692092759124,-122.31156068918385,47.58230509514592,-122.32166200174149
53033009400,53033009200,2.032743289162001,0.04065486578324002,2.032743289162001,47.58692092759124,-122.31156068918385,47.60051360366602,-122.32963629589078
53033009400,53033008600,2.453895788367843,0.049077915767356865,2.453895788367843,47.58692092759124,-122.31156068918385,47.60882441008224,-122.31557190725857
53033009400,53033008200,2.906881758321185,0.058137635166423694,2.906881758321185,47.58692092759124,-122.31156068918385,47.60986014333549,-122.33010672075953
53033009400,53033009000,1.2229653610693423,0.024459307221386846,1.2229653610693423,47.58692092759124,-122.31156068918385,47.597771587551506,-122.30889362316681
53033009400,53033008300,2.924332529675904,0.05848665059351808,2.924332529675904,47.58692092759124,-122.31156068918385,47.61106119120198,-122.32699958160516
53033009400,53033009500,1.544650856501508,0.030893017130030162,1.544650856501508,47.58692092759124,-122.31156068918385,47.58203344303291,-122.2923389212009
53033009400,53033009100,1.5634592208436695,0.03126918441687339,1.5634592208436695,47.58692092759124,-122.31156068918385,47.59848474114819,-122.32338885660158
53033009400,53033010001,2.444138139801047,0.04888276279602094,2.444138139801047,47.58692092759124,-122.31156068918385,47.56652266653898,-122.2994486677337
53033009400,53033008900,1.4430985739119022,0.028861971478238043,1.4430985739119022,47.58692092759124,-122.31156068918385,47.59640074314564,-122.29845487333849
53033009400,53033008800,2.658014547060758,0.05316029094121516,2.658014547060758,47.58692092759124,-122.31156068918385,47.60903569851029,-122.29813460747928
53033009400,53033010002,1.1118601148753557,0.022237202297507114,1.1118601148753557,47.58692092759124,-122.31156068918385,47.57692458902236,-122.31197898154302
