from_node,to_node,distance_km,time_hours,weight,lat_from,lon_from,lat_to,lon_to,distance_km_reverse,time_hours_reverse,weight_reverse
35049001103,35049001106,4.868802,0.13022999999999998,468.828,35.65611616381588,-105.96627104998876,35.64720912421535,-105.99598524312066,3.436293,0.14118722222222221,508.274
35049001103,35049010400,6.368513,0.17930500000000002,645.498,35.65611616381588,-105.96627104998876,35.65987214468375,-105.92271907781269,6.377472,0.1798,647.28
35049001103,35049000600,4.790015,0.1473597222222222,530.495,35.65611616381588,-105.96627104998876,35.6766057095978,-105.94533774516692,4.806692,0.14748805555555555,530.957
35049001103,35049000900,2.530971,0.09308361111111112,335.101,35.65611616381588,-105.96627104998876,35.665850717553205,-105.98234799683136,2.50132,0.09559166666666667,344.13
35049001103,35049001002,2.220043,0.0922975,332.271,35.65611616381588,-105.96627104998876,35.66516766573676,-105.96304977405188,2.207769,0.08926361111111111,321.349
35049001103,35049000700,4.736589,0.1261775,454.239,35.65611616381588,-105.96627104998876,35.68053327897084,-105.95788658668064,4.671171999999999,0.11727583333333333,422.193
35049001103,35049001202,3.611029,0.11264472222222223,405.521,35.65611616381588,-105.96627104998876,35.65868936389158,-105.99534625585753,3.660991,0.1226811111111111,441.652
35049001103,35049001105,2.8448789999999997,0.10978611111111111,395.23,35.65611616381588,-105.96627104998876,35.64343593662586,-105.96804134220288,2.859869,0.11645888888888889,419.252
35049001103,35049001107,2.873664,0.1191725,429.021,35.65611616381588,-105.96627104998876,35.646340541651675,-105.98496307189971,2.8736149999999996,0.11917083333333332,429.015
35049001103,35049000300,5.457143,0.14168527777777778,510.067,35.65611616381588,-105.96627104998876,35.689464900003195,-105.95137506244154,5.4377759999999995,0.13426805555555557,483.365
35049001103,35049000800,5.396426,0.1521441666666667,547.719,35.65611616381588,-105.96627104998876,35.68448903224925,-105.96080552915464,5.32563,0.14298916666666667,514.761
35049001103,35049001001,3.585951,0.1261672222222222,454.202,35.65611616381588,-105.96627104998876,35.66672247404534,-105.95059362267844,3.559468,0.11760305555555554,423.371
35049001103,35049001102,2.982395,0.13411194444444444,482.803,35.65611616381588,-105.96627104998876,35.64845746872146,-105.9518682028377,3.0224290000000003,0.1355661111111111,488.038
35049001103,35049010316,3.535231,0.14283833333333332,514.218,35.65611616381588,-105.96627104998876,35.63170416115218,-105.97304238253749,3.514005,0.14287472222222222,514.349
35049001106,35049001302,4.873766,0.130445,469.602,35.64720912421535,-105.99598524312066,35.633911953910406,-106.03421743549396,4.613878,0.13071555555555556,470.576
35049001106,35049000900,2.951346,0.11973277777777779,431.038,35.64720912421535,-105.99598524312066,35.665850717553205,-105.98234799683136,3.488873,0.10908666666666667,392.712
35049001106,35049001002,4.5987979999999995,0.16871166666666665,607.362,35.64720912421535,-105.99598524312066,35.66516766573676,-105.96304977405188,5.134721,0.14843222222222222,534.356
35049001106,35049001202,1.9628610000000002,0.08749861111111111,314.995,35.64720912421535,-105.99598524312066,35.65868936389158,-105.99534625585753,2.511161,0.08390138888888889,302.045
35049001106,35049001105,4.235814,0.14713194444444444,529.675,35.64720912421535,-105.99598524312066,35.64343593662586,-105.96804134220288,4.749712000000001,0.1756611111111111,632.38
35049001106,35049001107,1.952796,0.07549916666666667,271.797,35.64720912421535,-105.99598524312066,35.646340541651675,-105.98496307189971,2.423658,0.09716666666666667,349.8
35049001106,35049010314,5.98991,0.1659486111111111,597.415,35.64720912421535,-105.99598524312066,35.625051727288366,-106.01445139014832,5.682006,0.16966555555555557,610.796
35049001106,35049001204,3.908642,0.1553827777777778,559.378,35.64720912421535,-105.99598524312066,35.6432880973356,-106.024957000558,3.887538,0.16053694444444444,577.933
35049001106,35049001102,7.0191040000000005,0.21632194444444444,778.759,35.64720912421535,-105.99598524312066,35.64845746872146,-105.9518682028377,7.596395,0.20599194444444446,741.571
35049001106,35049010315,5.798876,0.1695377777777778,610.336,35.64720912421535,-105.99598524312066,35.62555618979285,-105.99718628109142,5.472186,0.1619486111111111,583.015
35049001106,35049001203,6.7226040000000005,0.20798555555555556,748.748,35.64720912421535,-105.99598524312066,35.65336871940855,-106.03608283159616,6.362187,0.1818261111111111,654.574
35049001106,35049010316,4.309316,0.15800472222222223,568.817,35.64720912421535,-105.99598524312066,35.63170416115218,-105.97304238253749,4.78698,0.17992805555555555,647.741
35049001302,35049001303,2.5615300000000003,0.08419,303.084,35.633911953910406,-106.03421743549396,35.624248563634296,-106.05096845606018,3.221602,0.09260666666666667,333.384
35049001302,35049010314,3.148888,0.0952675,342.963,35.633911953910406,-106.03421743549396,35.625051727288366,-106.01445139014832,3.15404,0.0989525,356.229
35049001302,35049001205,1.703523,0.05802277777777778,208.882,35.633911953910406,-106.03421743549396,35.63614275857343,-106.04754727145776,1.700764,0.0522675,188.163
35049001302,35049001204,2.0893870000000003,0.1045088888888889,376.232,35.633911953910406,-106.03421743549396,35.6432880973356,-106.024957000558,2.030364,0.10185111111111111,366.664
35049001302,35049010315,4.876353,0.10648527777777778,383.347,35.633911953910406,-106.03421743549396,35.62555618979285,-105.99718628109142,4.844303,0.10914305555555556,392.915
35049001302,35049001203,5.857901,0.16915083333333333,608.943,35.633911953910406,-106.03421743549396,35.65336871940855,-106.03608283159616,2.463609,0.07346333333333334,264.468
35049001302,35049001301,2.1630279999999997,0.056878333333333336,204.762,35.633911953910406,-106.03421743549396,35.63245391666017,-106.0526688718073,2.153605,0.05276611111111111,189.958
35049001302,35049001304,4.469645000000001,0.10092250000000001,363.321,35.633911953910406,-106.03421743549396,35.60873461351351,-106.04051362972972,4.533483,0.10788722222222222,388.394
35049010400,35049000400,4.240795,0.13600722222222222,489.626,35.65987214468375,-105.92271907781269,35.686377621695996,-105.94020470572082,4.228762,0.138585,498.906
35049010400,35049000600,3.816373,0.13897777777777778,500.32,35.65987214468375,-105.92271907781269,35.6766057095978,-105.94533774516692,3.636913,0.12858444444444445,462.904
35049010400,35049001002,6.140866,0.18953416666666667,682.323,35.65987214468375,-105.92271907781269,35.66516766573676,-105.96304977405188,6.164445,0.18760583333333333,675.381
35049010400,35049000700,5.300164,0.16870416666666668,607.335,35.65987214468375,-105.92271907781269,35.68053327897084,-105.95788658668064,5.302220999999999,0.16963055555555553,610.67
