from_node,to_node,distance_km,time_hours,weight,lat_from,lon_from,lat_to,lon_to
35049001103,35049001106,2.8666105840160983,0.057332211680321966,2.8666105840160983,35.65611616381588,-105.96627104998876,35.64720912421535,-105.99598524312066
35049001103,35049010400,3.9656486989782467,0.07931297397956494,3.9656486989782467,35.65611616381588,-105.96627104998876,35.65987214468375,-105.92271907781267
35049001103,35049000600,2.9598219554554883,0.059196439109109766,2.9598219554554883,35.65611616381588,-105.96627104998876,35.6766057095978,-105.94533774516691
35049001103,35049000900,1.8126578526458708,0.036253157052917415,1.8126578526458708,35.65611616381588,-105.96627104998876,35.665850717553205,-105.98234799683135
35049001103,35049001002,1.0457886820932942,0.020915773641865885,1.0457886820932942,35.65611616381588,-105.96627104998876,35.66516766573676,-105.96304977405187
35049001103,35049000700,2.813496269895239,0.05626992539790478,2.813496269895239,35.65611616381588,-105.96627104998876,35.68053327897084,-105.95788658668063
35049001103,35049001202,2.6482542542840393,0.052965085085680784,2.6482542542840393,35.65611616381588,-105.96627104998876,35.65868936389158,-105.99534625585753
35049001103,35049001105,1.4160080129004147,0.028320160258008292,1.4160080129004147,35.65611616381588,-105.96627104998876,35.64343593662586,-105.96804134220288
35049001103,35049001107,2.0104132528776995,0.04020826505755399,2.0104132528776995,35.65611616381588,-105.96627104998876,35.646340541651675,-105.98496307189971
35049001103,35049000300,3.9382446704522067,0.07876489340904413,3.9382446704522067,35.65611616381588,-105.96627104998876,35.689464900003195,-105.95137506244154
35049001103,35049000800,3.1867056533050584,0.06373411306610116,3.1867056533050584,35.65611616381588,-105.96627104998876,35.68448903224925,-105.96080552915464
35049001103,35049001001,1.8439046481204031,0.036878092962408064,1.8439046481204031,35.65611616381588,-105.96627104998876,35.66672247404534,-105.95059362267844
35049001103,35049001102,1.5566797952184512,0.031133595904369024,1.5566797952184512,35.65611616381588,-105.96627104998876,35.64845746872146,-105.9518682028377
35049001103,35049010316,2.777128733109978,0.055542574662199556,2.777128733109978,35.65611616381588,-105.96627104998876,35.63170416115218,-105.97304238253747
35049001106,35049001302,3.7639293370445537,0.07527858674089108,3.7639293370445537,35.64720912421535,-105.99598524312066,35.633911953910406,-106.03421743549396
35049001106,35049000900,2.4089352969901605,0.04817870593980321,2.4089352969901605,35.64720912421535,-105.99598524312066,35.665850717553205,-105.98234799683135
35049001106,35049001002,3.5867911870075635,0.07173582374015126,3.5867911870075635,35.64720912421535,-105.99598524312066,35.66516766573676,-105.96304977405187
35049001106,35049001202,1.2750758867214909,0.025501517734429817,1.2750758867214909,35.64720912421535,-105.99598524312066,35.65868936389158,-105.99534625585753
35049001106,35049001105,2.565151402601884,0.05130302805203768,2.565151402601884,35.64720912421535,-105.99598524312066,35.64343593662586,-105.96804134220288
35049001106,35049001107,1.002853663155665,0.0200570732631133,1.002853663155665,35.64720912421535,-105.99598524312066,35.646340541651675,-105.98496307189971
35049001106,35049010314,2.973441891385376,0.05946883782770752,2.973441891385376,35.64720912421535,-105.99598524312066,35.625051727288366,-106.01445139014832
35049001106,35049001204,2.6596714567340194,0.053193429134680385,2.6596714567340194,35.64720912421535,-105.99598524312066,35.6432880973356,-106.02495700055799
35049001106,35049001102,3.9977649937950774,0.07995529987590155,3.9977649937950774,35.64720912421535,-105.99598524312066,35.64845746872146,-105.9518682028377
35049001106,35049010315,2.4049040070138514,0.04809808014027703,2.4049040070138514,35.64720912421535,-105.99598524312066,35.62555618979285,-105.99718628109142
35049001106,35049001203,3.694993382393165,0.0738998676478633,3.694993382393165,35.64720912421535,-105.99598524312066,35.65336871940855,-106.03608283159615
35049001106,35049010316,2.697685236983615,0.053953704739672294,2.697685236983615,35.64720912421535,-105.99598524312066,35.63170416115218,-105.97304238253747
35049001302,35049001303,1.8579511424628035,0.03715902284925607,1.8579511424628035,35.633911953910406,-106.03421743549396,35.624248563634296,-106.05096845606018
35049001302,35049010314,2.0426020733108325,0.040852041466216654,2.0426020733108325,35.633911953910406,-106.03421743549396,35.625051727288366,-106.01445139014832
